TITLE,AUTHORS NAMES,ABSTRACT,LINK
Research on international logistics supply chain management strategy based on deep reinforcement learning,"Yuzhen Wang, Jian Wang","Abstract The use of deep reinforcement learning algorithms for strategy formulation in supply chain management enables the nodes in the supply chain to better improve their management strategies. In this paper, a supply chain model is constructed as a starting point, and deep reinforcement learning algorithms are introduced on this basis. Firstly, the decision problem of uncertainty is handled by the reinforcement learning method of functions, and the DQN algorithm (deep neural network algorithm) is divided into two parts for iterative rules. Then the target network is established to make the iterative process more stable, to improve the convergence of the algorithm, evaluate the loss function in the training process of the network, and to determine its influence factor. Then the neural network is used to improve the iteration rule, improve the output layer, select the final action, and define the model expectation reward. Finally, the Bellman equation is fitted to the function by a deep neural network to calculate the final result. The experimental results show that by analyzing and constructing the cost of international logistics under supply chain management, the capacity utilization rate of ocean freight link is 57% The unloading link is 74% and the total capacity utilization rate is calculated as 76%. It shows that using deep reinforcement learning algorithms under international logistics supply chain management is feasible and necessary for improving the management strategy research of supply chains.",https://www.semanticscholar.org/paper/Research-on-international-logistics-supply-chain-on-Wang-Wang/d1f4a1cdc1e1f7c6211c73a0c2d1249d6ce4f0dc
A Reinforcement Learning-Based Control Approach for Tracking Problem of a Class of Nonlinear Systems: Applied to a Single-Link Manipulator,"Farshad Rahimi, Sepideh Ziaei, R. M. Esfanjani"," This paper introduces a reinforcement  learning -based tracking control approach for a class of nonlinear systems using neural networks in the presence of adversarial attacks. This approach incorporates a simultaneous tracking and optimization process. It is necessary to be able to solve the Hamilton-Jacobi- Bellman  equation (HJB) in order to obtain optimal control input, but this is difficult due to the strong nonlinearity terms in the equation . In order to find the solution to the HJB equation , we used a reinforcement  learning approach. In this online adaptive learning approach, three neural networks are simultaneously adapted: the critic neural network, the actor neural network, and the adversary neural network. Ultimately, simulation results are presented to demonstrate the effectiveness of the introduced method on a manipulator. ",https://www.semanticscholar.org/paper/A-Reinforcement-Learning-Based-Control-Approach-for-Rahimi-Ziaei/b774f9267607c56fa801f2797ed6957b5839fcda
Empowering Trustworthy Client Selection in Edge Federated Learning Leveraging Reinforcement Learning,"Asadullah Tariq, Abderrahmane Lakas, F. Sallabi, Tariq Qayyum, M. Serhani, Ezedin Baraka","Federated learning (FL) is a promising approach for training AI models across multiple clients in Edge Computing (EC), without sharing raw local data. By enabling local training and aggregating updates into a global model, FL maintains privacy while facilitating collaborative learning. Nevertheless, FL encounters several challenges, including trustworthy client participation, inefficient model aggregation due to client with malicious or less accurate model. In this paper, we propose a trustworthy FL method incorporating Q-learning, trust, and reputation mechanisms, enhancing model accuracy and fairness. This method promotes client participation, mitigates malicious attacks' impact, and ensures fair model distribution. Inspired by reinforcement learning, the Q-learning algorithm optimizes client selection using the Bellman equation, enabling the server to balance exploration and exploitation for improved system performance. Furthermore, we explored the advantages of peer-to-peer FL settings. Extensive experimentation demonstrates our proposed trustworthy FL approach's effectiveness in achieving high learning accuracy while ensuring fairness across clients and maintaining efficient client selection. Our results reveal significant improvements in model performance, convergence speed, and generalization.",https://www.semanticscholar.org/paper/Empowering-Trustworthy-Client-Selection-in-Edge-Tariq-Lakas/582b74eebfc7abb4b1889fce53154fb4b74c7bfa
Efficient distributional reinforcement learning with Kullback-Leibler divergence regularization,"Renxing Li, Zhiwei Shang, Chunhuang Zheng, Huiyun Li, Qing Liang, Yunduan Cui","In this article, we address the issues of stability and data-efficiency in reinforcement learning (RL). A novel RL approach, Kullback-Leibler divergence-regularized distributional RL (KL-C51) is proposed to integrate the advantages of both stability in the distributional RL and data-efficiency in the Kullback-Leibler (KL) divergence-regularized RL in one framework. KL-C51 derived the Bellman equation and the TD errors regularized by KL divergence in a distributional perspective and explored the approximated strategies of properly mapping the corresponding Boltzmann softmax term into distributions. Evaluated not only by several benchmark tasks with different complexity from OpenAI Gym but also by six Atari 2600 games from the Arcade Learning Environment, the proposed method clearly illustrates the positive effect of the KL divergence regularization to the distributional RL including exclusive exploration behaviors and smooth value function update, and demonstrates an improvement in both learning stability and data-efficiency compared with other related baseline approaches.",https://www.semanticscholar.org/paper/Efficient-distributional-reinforcement-learning-Li-Shang/e65823e7e8c50f873abe8cd2a9433916b4a62f43
Reproducibility in Deep Reinforcement Learning with Maximum Entropy,"Tudor-Andrei Paleu, Carlos Pascal","The latest work in the field of deep reinforcement learning speaks highly about the advanced exploration techniques which avoid the greedy decisions of agents. Usually, reinforcement learning works by finding the optimal policy for a Markov Decision Process. In off-policy algorithms the agent learns a value function for this optimal policy, separate of the action choice, an example being the deep Q-learning algorithm. Algorithms based on a maximum entropy framework, like soft Q-learning, overcome the greedy behavior of the agent, effectively combining exploration and exploitation by adding an entropy term to the Bellman equation. This method, applied to the Lunar Lander environment, was compared to the classic deep Q-learning, using the same set of different random seeds and averaging multiple runs. An implicit exploration strategy proves to compensate for disturbances caused by intrinsic sources of non-determinism, such as random seeds. This paper highlights the sensitivity to intrinsic and extrinsic influences for deep reinforcement learning, with respect to exploration and repeatability.",https://www.semanticscholar.org/paper/Reproducibility-in-Deep-Reinforcement-Learning-with-Paleu-Pascal/73ef3cacf5263a5a9d7c06e86f4adef20fede29f
Dynamic Event-Triggered Robust Optimal Attitude Control of QUAV Using Reinforcement Learning,"Peng Jin, Qian Ma, Shengyuan Xu","In this article, a dynamic event-triggered robust optimal attitude tracking control problem for a quadrotor unmanned aerial vehicle in an uncertain environment is investigated. First, an augmented system consisting of tracking error signal and reference signal is developed to transform the tracking problem into a stabilization problem. Then, in order to handle the random disturbances in the design of the optimal controller, a new Hamilton–Jacobi–Bellman equation is proposed. Subsequently, the dynamic event-triggered mechanism is designed to reduce the communication pressure, and an event-based critic-only reinforcement learning algorithm is proposed to implement the optimal controller design. Remarkably, by combining concurrent learning technique and gradient descent algorithm, the adaptive weight update law is derived to tune the critic neural network, thus erasing the demand on the persistent excitation condition. After that, we demonstrate that the closed-loop system is semiglobally uniformly ultimately bounded in mean square and prove the Zeno-free behavior. Finally, the simulation results are given to show the effectiveness of our control strategy.",https://www.semanticscholar.org/paper/Dynamic-Event-Triggered-Robust-Optimal-Attitude-of-Jin-Ma/f75fb37057a7784e4c9e212a70950378c7a83945
Integral Reinforcement-Learning-Based Optimal Containment Control for Partially Unknown Nonlinear Multiagent Systems,"Qiuye Wu, Yongheng Wu, Yonghua Wang","This paper focuses on the optimal containment control problem for the nonlinear multiagent systems with partially unknown dynamics via an integral reinforcement learning algorithm. By employing integral reinforcement learning, the requirement of the drift dynamics is relaxed. The integral reinforcement learning method is proved to be equivalent to the model-based policy iteration, which guarantees the convergence of the proposed control algorithm. For each follower, the Hamilton–Jacobi–Bellman equation is solved by a single critic neural network with a modified updating law which guarantees the weight error dynamic to be asymptotically stable. Through using input–output data, the approximate optimal containment control protocol of each follower is obtained by applying the critic neural network. The closed-loop containment error system is guaranteed to be stable under the proposed optimal containment control scheme. Simulation results demonstrate the effectiveness of the presented control scheme.",https://www.semanticscholar.org/paper/Integral-Reinforcement-Learning-Based-Optimal-for-Wu-Wu/f70c9ea1bf760efac8f1e224b51477cb40afc65a
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,"Outongyi Lv, Bingxin Zhou, Yu Wang","Modern reinforcement learning (RL) can be categorized into online and offline variants. As a pivotal aspect of both online and offline RL, current research on the Bellman equation revolves primarily around optimization techniques and performance enhancement rather than exploring the inherent structural properties of the Bellman error, such as its distribution characteristics. This study investigates the distribution of the Bellman approximation error in both online and offline settings through iterative exploration of the Bellman equation. We observed that both in online RL and offline RL, the Bellman error conforms to a Logistic distribution. Building upon this discovery, this study employed the Logistics maximum likelihood function (LLoss) as an alternative to the commonly used MSE Loss, assuming that Bellman errors adhere to a normal distribution. We validated our hypotheses through extensive numerical experiments across diverse online and offline environments. In particular, we applied corrections to the loss function across various baseline algorithms and consistently observed that the loss function with Logistic corrections outperformed the MSE counterpart significantly. Additionally, we conducted Kolmogorov-Smirnov tests to confirm the reliability of the Logistic distribution. This study's theoretical and empirical insights provide valuable groundwork for future investigations and enhancements centered on the distribution of Bellman errors.",https://www.semanticscholar.org/paper/LLQL%3A-Logistic-Likelihood-Q-Learning-for-Learning-Lv-Zhou/3e72a33046892c13fc8deaa3628e01dc518348e5
Distributed Generative Multi-Adversarial Reinforcement Learning for Multi-Vehicle Pursuit,"Xinhang Li, Yiying Yang, +5 authors Prof. Lin Zhang","13 Multi-vehicle pursuit (MVP) is one of the most challenging problems for intelligent traffic management systems, due to 14 multi-source heterogeneous data and its mission nature. Many reinforcement learning (RL) algorithms have shown 15 promising abilities for the MVP problem. However, the sparse reward of pursuing tasks and the lack of effective traffic 16 awareness hinder the optimization of RL decisions and the improvement of pursuing efficiency. Therefore, this paper 17 proposes a Distributed Generative Multi-Adversarial Reinforcement Learning for Multi-Vehicle Pursuit (DGMARL-MVP) 18 in urban traffic scenes. In DGMARL-MVP, a generative multi-adversarial network (GMAN) is designed to improve 19 the Bellman equation by generating the potential dense reward, thereby properly guiding strategy optimization of 20 distributed multi-agent RL. Moreover, a graph neural network (GNN)-based intersecting cognition is proposed to 21 extract integrated features of traffic situations and agents’ relationships from multi-source heterogeneous data to 22 assist in improving the pursuing efficiency. Extensive experimental results show that the DGMARL-MVP can reduce 23 the pursuit time by 5.47 % compared with proximal policy optimization and improve pursuing average success rate up 24 to 85.67 % . Codes are open sourced in Github. 25",https://www.semanticscholar.org/paper/Distributed-Generative-Multi-Adversarial-Learning-Li-Yang/53b7fa06fd41328f8f149f7523f4d53410c1b46f
Safety-Aware Optimal Control of Nonlinear Systems Using Off-Policy Reinforcement Learning*,"Mingduo Lin, Bo Zhao, Hongbing Xia, Derong Liu","In this paper, we investigate the safety-aware optimal control (SAOC) problem, which attempts to minimize a predefined performance index function while ensuring the safety of nonlinear systems. First, the barrier function-based system transformation is utilized to design an optimal control policy which maintains the system states located in the safety region. To deal with the input constraints, a non-quadratic cost function is imposed to the control input. Then, the Hamilton-Jacobi-Bellman equation is established to provide the solution of the SAOC problem. Moreover, by utilizing the off-policy Bellman equation, a data-based off-policy reinforcement learning (OPRL) algorithm is developed to obtain the safety-aware optimal controller in a model-free manner. To implement this algorithm, a data collection process with the barrier transform is executed to generate the off-policy trajectory data, and an actor-critic neural network structure with the least-square updating law is employed in the off-policy learning phase. Finally, a simulation example is provided to verify the effectiveness of the developed control method.",https://www.semanticscholar.org/paper/Safety-Aware-Optimal-Control-of-Nonlinear-Systems-Lin-Zhao/c40e0c5503105a0e6f384e3badbc1ac9ba4ece28
OPTIMAL TRACKING CONTROL FOR ROBOT MANIPULATORS WITH ASYMMETRIC SATURATION TORQUES BASED ON REINFORCEMENT LEARNING,"N. D. Dien, Luy Tan Nguyen, L. Lãi"," This paper introduces an optimal tracking controller for robot manipulators with asymmetrically saturated torques and partially - unknown dynamics based on a reinforcement  learning method using a neural network. Firstly, the feedforward control inputs are designed based on the backstepping technique to convert the tracking control problem into the optimal tracking control problem. Secondly, a cost function of the system with asymmetrically saturated input is defined, and the constrained Hamilton-Jacobi- Bellman  equation is built, which is solved by the online reinforcement  learning algorithm using only a single neural network. Then, the asymmetric saturation optimal control rule is determined. Additionally, the concurrent learning technique is used to relax the demand for the persistence of excitation conditions. The built algorithm ensures that the closed-loop system is asymptotically stable, the approximation error is uniformly ultimately bounded (UUB), and the cost function converges to the near-optimal value. Finally, the effectiveness of the proposed algorithm is shown through comparative simulations. ",https://www.semanticscholar.org/paper/OPTIMAL-TRACKING-CONTROL-FOR-ROBOT-MANIPULATORS-ON-Dien-Nguyen/c1d7bebf3876642ec26145b57802e50ce1af9cea
Empowering Trustworthy Client Selection in Edge Federated Learning Leveraging Reinforcement Learning,"Asadullah Tariq, Abderrahmane Lakas, F. Sallabi, Tariq Qayyum, M. Serhani, Ezedin Baraka","Federated learning (FL) is a promising approach for training AI models across multiple clients in Edge Computing (EC), without sharing raw local data. By enabling local training and aggregating updates into a global model, FL maintains privacy while facilitating collaborative learning. Nevertheless, FL encounters several challenges, including trustworthy client participation, inefficient model aggregation due to client with malicious or less accurate model. In this paper, we propose a trustworthy FL method incorporating Q-learning, trust, and reputation mechanisms, enhancing model accuracy and fairness. This method promotes client participation, mitigates malicious attacks' impact, and ensures fair model distribution. Inspired by reinforcement learning, the Q-learning algorithm optimizes client selection using the Bellman equation, enabling the server to balance exploration and exploitation for improved system performance. Furthermore, we explored the advantages of peer-to-peer FL settings. Extensive experimentation demonstrates our proposed trustworthy FL approach's effectiveness in achieving high learning accuracy while ensuring fairness across clients and maintaining efficient client selection. Our results reveal significant improvements in model performance, convergence speed, and generalization.",https://www.semanticscholar.org/paper/Empowering-Trustworthy-Client-Selection-in-Edge-Tariq-Lakas/582b74eebfc7abb4b1889fce53154fb4b74c7bfa
Integral Reinforcement-Learning-Based Optimal Containment Control for Partially Unknown Nonlinear Multiagent Systems,"Qiuye Wu, Yongheng Wu, Yonghua Wang","This paper focuses on the optimal containment control problem for the nonlinear multiagent systems with partially unknown dynamics via an integral reinforcement learning algorithm. By employing integral reinforcement learning, the requirement of the drift dynamics is relaxed. The integral reinforcement learning method is proved to be equivalent to the model-based policy iteration, which guarantees the convergence of the proposed control algorithm. For each follower, the Hamilton–Jacobi–Bellman equation is solved by a single critic neural network with a modified updating law which guarantees the weight error dynamic to be asymptotically stable. Through using input–output data, the approximate optimal containment control protocol of each follower is obtained by applying the critic neural network. The closed-loop containment error system is guaranteed to be stable under the proposed optimal containment control scheme. Simulation results demonstrate the effectiveness of the presented control scheme.",https://www.semanticscholar.org/paper/Integral-Reinforcement-Learning-Based-Optimal-for-Wu-Wu/f70c9ea1bf760efac8f1e224b51477cb40afc65a
Efficient distributional reinforcement learning with Kullback-Leibler divergence regularization,"Renxing Li, Zhiwei Shang, Chunhuang Zheng, Huiyun Li, Qing Liang, Yunduan Cui","In this article, we address the issues of stability and data-efficiency in reinforcement learning (RL). A novel RL approach, Kullback-Leibler divergence-regularized distributional RL (KL-C51) is proposed to integrate the advantages of both stability in the distributional RL and data-efficiency in the Kullback-Leibler (KL) divergence-regularized RL in one framework. KL-C51 derived the Bellman equation and the TD errors regularized by KL divergence in a distributional perspective and explored the approximated strategies of properly mapping the corresponding Boltzmann softmax term into distributions. Evaluated not only by several benchmark tasks with different complexity from OpenAI Gym but also by six Atari 2600 games from the Arcade Learning Environment, the proposed method clearly illustrates the positive effect of the KL divergence regularization to the distributional RL including exclusive exploration behaviors and smooth value function update, and demonstrates an improvement in both learning stability and data-efficiency compared with other related baseline approaches.",https://www.semanticscholar.org/paper/Efficient-distributional-reinforcement-learning-Li-Shang/e65823e7e8c50f873abe8cd2a9433916b4a62f43
SAUTE RL: Almost Surely Safe Reinforcement Learning Using State Augmentation,"Aivar Sootla, A. Cowen-Rivers, +4 authors Haitham Bou-Ammar","Satisfying safety constraints almost surely (or with probability one) can be critical for the deployment of Reinforcement Learning (RL) in real-life applications. For example, plane landing and take-off should ideally occur with probability one. We address the problem by introducing Safety Augmented (Saute) Markov Decision Processes (MDPs), where the safety constraints are eliminated by augmenting them into the state-space and reshaping the objective. We show that Saute MDP satisfies the Bellman equation and moves us closer to solving Safe RL with constraints satisfied almost surely. We argue that Saute MDP allows viewing the Safe RL problem from a different perspective enabling new features. For instance, our approach has a plug-and-play nature, i.e., any RL algorithm can be""Sauteed"". Additionally, state augmentation allows for policy generalization across safety constraints. We finally show that Saute RL algorithms can outperform their state-of-the-art counterparts when constraint satisfaction is of high importance.",https://www.semanticscholar.org/paper/SAUTE-RL%3A-Almost-Surely-Safe-Reinforcement-Learning-Sootla-Cowen-Rivers/fda6c22149d269cb2730e919ed4254a5a5f84ae0
Reachability Analysis-based Safety-Critical Control using Online Fixed-Time Reinforcement Learning,"Nick-Marios T. Kokolakis, K. Vamvoudakis, W. Haddad","In this paper, we address a safety-critical control problem using reachability analysis and design a reinforcement learning-based mechanism for learning online and in fixed-time the solution to the safety-critical control problem. Safety is assured by determining a set of states for which there does not exist an admissible control law generating a system trajectory reaching a set of forbidden states at a user-prescribed time instant. Specifically, we cast our safety-critical problem as a Mayer optimal feedback control problem whose solution satisfies the Hamilton-Jacobi-Bellman (HJB) equation and characterizes the set of safe states. Since the HJB equation is generally difficult to solve, we develop an online critic-only reinforcement learning-based algorithm for simultaneously learning the solution to the HJB equation and the safe set in fixed time. In particular, we introduce a non-Lipschitz experience replay-based learning law utilizing recorded and current data for updating the critic weights to learn the value function and the safe set. The non-Lipschitz property of the dynamics gives rise to fixed-time convergence, whereas the experience replay-based approach eliminates the need of satisfying the persistence of excitation condition provided that the recorded data is sufficiently rich. Simulation results illustrate the efficacy of the proposed approach.",https://www.semanticscholar.org/paper/Reachability-Analysis-based-Safety-Critical-Control-Kokolakis-Vamvoudakis/364bf44c934d2a26b51f37865b4de7a173c881a2
Robust Near-optimal Control for Constrained Nonlinear System via Integral Reinforcement Learning,"Y. Qiu, Yan Li, Zhong Wang","This paper proposes a robust near-optimal control algorithm for uncertain nonlinear systems with state constraints and input saturation. By incorporating a barrier function and a non-quadratic term, the robust stabilization problem with constraints and uncertainties is converted into an unconstrained optimal control problem of the nominal system, which requires the solution of the Hamilton-Jacobi-Bellman (HJB) equation. The proposed integral reinforcement learning (IRL)-based method can obtain the approximate solution of the HJB equation without requiring any knowledge of system drift dynamics. An online gain-adjustable update law of the actor-critic architecture is developed to relax the persistence of excitation (PE) condition and ensure the closed-loop system stability throughout learning. The uniform ultimate boundedness of the closed-loop system is verified using Lyapunov’s direct method. Simulation results demonstrate the effectiveness and feasibility of the proposed method.",https://www.semanticscholar.org/paper/Robust-Near-optimal-Control-for-Constrained-System-Qiu-Li/790ee8f4bcdf53295c0d3981adbb17dbad7fcae6
Reinforcement Learning With Non-Cumulative Objective,"W. Cui, Wei Yu","In reinforcement learning, the objective is almost always defined as a cumulative function over the rewards along the process. However, there are many optimal control and reinforcement learning problems in various application fields, especially in communications and networking, where the objectives are not naturally expressed as summations of the rewards. In this paper, we recognize the prevalence of non-cumulative objectives in various problems, and propose a modification to existing algorithms for optimizing such objectives. Specifically, we dive into the fundamental building block for many optimal control and reinforcement learning algorithms: the Bellman optimality equation. To optimize a non-cumulative objective, we replace the original summation operation in the Bellman update rule with a generalized operation corresponding to the objective. Furthermore, we provide sufficient conditions on the form of the generalized operation as well as assumptions on the Markov decision process under which the globally optimal convergence of the generalized Bellman updates can be guaranteed. We demonstrate the idea experimentally with the bottleneck objective, i.e., the objectives determined by the minimum reward along the process, on classical optimal control and reinforcement learning tasks, as well as on two network routing problems on maximizing the flow rates.",https://www.semanticscholar.org/paper/Reinforcement-Learning-With-Non-Cumulative-Cui-Yu/ed0708e28d9a8e9b01e9c3f4cf6b22432ae36e1e
OPTIMAL TRACKING CONTROL FOR ROBOT MANIPULATORS WITH INPUT CONSTRAINT BASED REINFORCEMENT LEARNING,"N. D. Dien, Luy Tan Nguyen, L. Lãi, Tran Thanh Hai","This paper introduces an optimal tracking controller for robot manipulators with saturation torques. The robot model is presented as a strict-feedback nonlinear system. Firstly, the position tracking control problem is transformed into the optimal tracking control problem. Subsequently, the saturated optimal control law is designed. The optimal control law is determined through the solution of the Hamilton-Jacobi-Bellman (HJB) equation. We use a reinforcement learning algorithm with only one neural network (NN) to approximate the solution of the equation HJB. The technique of experience replay is used to relax a persistent citation condition. By Lyapunov analysis, the tracking and the approximation errors are uniformly ultimately bounded (UUB). Finally, the simulation on a robot manipulator with saturation torques is performed to verify the efficiency of the proposed controller.",https://www.semanticscholar.org/paper/OPTIMAL-TRACKING-CONTROL-FOR-ROBOT-MANIPULATORS-Dien-Nguyen/7ba77c1cb97bcc7f8c15190c49fc077a2e657357
Achieving Fairness in Multi-Agent Markov Decision Processes Using Reinforcement Learning,"Peizhong Ju, A. Ghosh, N. Shroff","Fairness plays a crucial role in various multi-agent systems (e.g., communication networks, financial markets, etc.). Many multi-agent dynamical interactions can be cast as Markov Decision Processes (MDPs). While existing research has focused on studying fairness in known environments, the exploration of fairness in such systems for unknown environments remains open. In this paper, we propose a Reinforcement Learning (RL) approach to achieve fairness in multi-agent finite-horizon episodic MDPs. Instead of maximizing the sum of individual agents' value functions, we introduce a fairness function that ensures equitable rewards across agents. Since the classical Bellman's equation does not hold when the sum of individual value functions is not maximized, we cannot use traditional approaches. Instead, in order to explore, we maintain a confidence bound of the unknown environment and then propose an online convex optimization based approach to obtain a policy constrained to this confidence region. We show that such an approach achieves sub-linear regret in terms of the number of episodes. Additionally, we provide a probably approximately correct (PAC) guarantee based on the obtained regret bound. We also propose an offline RL algorithm and bound the optimality gap with respect to the optimal fair solution. To mitigate computational complexity, we introduce a policy-gradient type method for the fair objective. Simulation experiments also demonstrate the efficacy of our approach.",https://www.semanticscholar.org/paper/Achieving-Fairness-in-Multi-Agent-Markov-Decision-Ju-Ghosh/058c472c6d984e38ff74170c79b7e4556f24e3d4
Model-Free Robust Average-Reward Reinforcement Learning,"Yue Wang, Alvaro Velasquez, George K. Atia, Ashley Prater-Bennette, Shaofeng Zou","Robust Markov decision processes (MDPs) address the challenge of model uncertainty by optimizing the worst-case performance over an uncertainty set of MDPs. In this paper, we focus on the robust average-reward MDPs under the model-free setting. We first theoretically characterize the structure of solutions to the robust average-reward Bellman equation, which is essential for our later convergence analysis. We then design two model-free algorithms, robust relative value iteration (RVI) TD and robust RVI Q-learning, and theoretically prove their convergence to the optimal solution. We provide several widely used uncertainty sets as examples, including those defined by the contamination model, total variation, Chi-squared divergence, Kullback-Leibler (KL) divergence and Wasserstein distance.",https://www.semanticscholar.org/paper/Model-Free-Robust-Average-Reward-Reinforcement-Wang-Velasquez/28c2c876068437a056802083a73157a1b5c1f9e2
